French,English
chercher,search
seulement,only
police,police
pensais,thought
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
endroit,place
yeux,eyes
écoute,listen
dont,whose
premier,first
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
matin,morning
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
vers,towards
minutes,minutes
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
mari,husband
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
terre,Earth
compte,account
donne,given
fin,end
chérie,sweetheart
gros,large
aura,will have
filles,girls
jouer,to play
bureau,office
